info,author,headline,article_text
"
				9 July 2008
				15:02 CEST+02:00			 
					15:02 CEST+02:00				",Faisal Enayat Khan,The hidden lives of Sweden’s undocumented migrants,"
Sweden has taken in thousands of asylum seekers in recent year. But not all have had their applications accepted. Faisal Enayat Khan describes his encounters with just a handful of Sweden's estimated 15,000 undocumented migrants.  

Ahmad curses the mess that is his life as he winds his way down the narrow spiral staircase of the three-storey building he has been working in for the last two weeks. The 28-year-old building contractor from Afghanistan has been eking out an existence outside the system ever since his most recent asylum application was rejected by the Swedish authorities last year.  
The Migration Board made it clear that his country was sufficiently secure to permit his safe return. But Ahmad scoffs at the notion and says he has decided to live and die in Sweden. 
“The Migration Board says that we have an army and police. I hope they understand that these are the same guys who have taken part in the 30 year old Afghan war; they have just changed their brand name from Mujahedin to National Army or National Police Force,” he tells The Local.  
Ahmad came to Sweden as an asylum seeker when his father was killed by the victorious Mujahedin, who assumed control of the security situation in Afghanistan after the US led coalition smashed the hard line Taliban regime in late 2001. 
“They killed my father because he was an honest civil servant and did not share the ideas they had,” he tells The Local. 
“If they had found me they would definitely have killed me too.” 
After almost two years spent passing through various countries at the hands of human smugglers, he finally reached Sweden in 2004 and applied for asylum.
But the Swedish Migration Board rejected his application. Writing to him in late 2005, the board said it did not believe that Ahmad’s life would be in danger if he was sent back to Afghanistan. The country had become more stable, the letter read, and there were thousands of foreign troops to help police its more lawless territories. 
Ahmad is one of around six hundred Afghans who have chosen to live in hiding after the Migration Board threatened them with deportation. Their fate shared by an estimated 15,000 foreign nationals living in Sweden as undocumented migrants.   
Ahmad’s situation was not always this bleak. Between November 2005 and March 2006, the then Social Democratic-led government introduced a temporary amnesty making it possible for around 30,000 migrants to have their asylum applications reassessed under more generous terms than was previously the case. 
The amnesty covered both migrants who had been living in hiding, as well as those whose applications had been rejected but were stuck in Sweden because of unrest in their home countries or a lack of cooperation from authorities in their home countries in carrying out Sweden's deportation orders.This resulted in the granting of 13,051 permanent residence permits and 4,282 one-year permits. 
Ahmad managed to secure a one-year residence permit in the spring of 2006, along with a promise that the board would review his case again a year later. 
Relieved at having received permission to remain in Sweden, Ahmad set up a construction firm, rented a house and began developing a social network. 
“Life was great,” he says. “I felt like a human being again after a very long and difficult time in my life.” 
But the glorious year passed quickly and in the summer of 2007 Ahmad received a letter from the Migration Board stating that it was preparing to review his case. 
“I knew nothing good would come of it. So I abandoned my apartment, fired my employees, sold my truck and went into hiding,” he says. 
His prognosis proved correct: the Migration Board revoked his residence permit and advised him to return to Afghanistan or face forced deportation. 
Ever since the board decided to review his application, Ahmad has been living in a three room rental apartment in the suburbs with six of his similarly “illegal” countrymen.  
Though Ahmad is better off than his flatmates, the jobs he takes do not pay well and sometimes he is not paid at all. But he earns enough to feed himself and, when needs must, some of his compatriots. 
“We are all in the same boat,” he says.  
As the bus from work weaves it ways through a wealthy suburban neighbourhood, Ahmad points out a brown apartment building that houses the clinic he visits if ever he gets sick. The clinic, which is run by Doctors of the World, is open once a week from 7pm to 9pm. 
A few days after meeting Ahmad, The Local returns to the clinic, where other migrants struggle to deal with their own personal dramas. 
Patients sit on a red corner sofa in a room at the end of an orange and off-white hallway. On the wall hangs a large portrait of the Hindu deity Krishna. A group of toddlers play with some old toys and a box full of Lego. The room is separated by a divider, on the other side of which sits a woman with bright green eyes and a broad smile.  
“Welcome to the asylum corner,” says Karolina Johansson, one of the clinic’s consultants.  
She explains that the clinic provides undocumented migrants with more than just medical care; they are also offered free survival tips and asylum consultation. 
“We basically inform people who live in hiding how to avoid situations which could endanger their lives,” says Johansson. 
But just as she runs through the clinic’s sundry services, a young man approaches and imparts some bad news. 
“Hi Karolina,” he says. “Did you hear about those seven Afghans who were taken by the police from the food factory?” 
“No!” says Johansson, visibly upset by the news.  
The men in question were arrested by the Swedish Border Police on June 4th at a food processing plant in the suburbs of Stockholm following an unsuccessful appeal to the Migration Court. 
Ahmad is furious when he hears about the raid later. He directs his anger not at the police but at his fellow countrymen. 
“They should have known better than to work in a place for which the police have the address,” he says. 
“Look at me. I abandoned my own business just to avoid arrest.” 
Back in the clinic, the drama continues to unfold. 
One woman is there to renew her ageing mother’s prescriptions, while a Serbian man tells a lawyer that his son will never make a full recovery if his family is deported. 
A couple from Azerbaijan have brought in their three-year-old daughter Alex in the hope of finding a doctor who can help cure her of a respiratory ailment that has been keeping them all awake at night. 
Alex’s parents have lived in Sweden for 4 years, two and a half of which have been spent in hiding. 
“Of course it is hard to live here the way we do, but the consequences of going back home make the difficulties we face here pale into insignificance,” says the girl’s father. 
Most of the undocumented migrants are encouraged by the clinic to stay on in Sweden in the hope of securing an amnesty, or at last until the statute of limitations permits asylum seekers to apply anew. 
“There is always hope at the end of the tunnel,” says Karolina Johansson. 
But both Ahmad and the patients at the clinic hold out little hope of emerging from their hiding places until 2010 at the earliest; Migration Minister Tobias Billström has said there will be no amnesty for refugees during the current term. 
Editors Note: The original version of this article contained a lack of specificity regarding Sweden's temporary amnesty program from 2005 to 2006. The current version of the article contains updated information. 
"
"
				8 June 2015
				07:47 CEST+02:00			 
					07:47 CEST+02:00				",TT/The Local,Swedish ship rescues 262 migrants off Libya,"
UPDATED: The Swedish surveillance and rescue ship Posedion has helped a large group of migrants attempting to cross the Mediterranean sea from Libya. 

	Posedion has been patrolling the waters between Italy and Libya since June 1st, as part of EU-wide efforts to help migrants making the dangerous journey between the two nations.

	The ship, which is more than 90 metres long, picked up 262 people travelling in wooden boats on Sunday night, after the migrants sent out distress signals.

	It is the first time a Swedish ship has been involved in the current efforts to help refugees in the Mediterranean.

	“We rescued those on board, everything went really well and the weather is good with very few waves. Right now we're heading towards Sicily,” Joakim Håkansson, Poseidon's commander, told the TT newswire via satellite phone on Sunday.

	He said the rescue operation had taken place eleven kilometres north of Tripoli and that the migrants had reported being at sea for around twelve hours.

	Once safe and dry on Posedion, the migrants were given food and water as well as access to toilets and washing facilities and were sat underneath large tarpaulin sails to protect them from the sun.

	“They seem to feel good. Some are tired and have fallen asleep and others are standing and talking,” Håkansson reported.

	He said that the migrants were understood to have travelled to the Libyan capital from Eritrea, Somalia and Syria.

	According to the Reuters news agency, a total of 2400 migrants were rescued in the Mediterranean on Sunday, with Italian, German, British and Irish vessels joining Triton, the international search-and-rescue operation being run by Frontex, the European Union’s joint border control agency.

	The operation takes place as the Mediterranean crisis remains hotly debated across Europe.

	The European Commission has asked all EU member states to take in a proportion of the refugees seeking asylum in the 28-member bloc.

	But several countries have voiced concerns about the strategy including Hungary, Slovakia, Spain and Estonia. The UK has chosen to avoid the plans due to an existing EU agreement which allows it to ‘opt out’ of some issues.

	Sweden already takes in more asylum seekers per capita than any other member state. Last month it was told to help relocate 821 migrants who have arrived in Italy and 548 who have travelled to Greece as part of the European Commission's controversial plans.
"
"
				12 August 2014
				16:52 CEST+02:00			 
					16:52 CEST+02:00				", The Local,Alliance promises jobs and help for migrants ,"
The Stockholm branch of Sweden's governing centre-right Alliance released its election manifesto on Tuesday, promising to make it easier for immigrants to use their skills and education in Stockholm - but focusing primarily on unemployment. 
    ""Validation of immigrants' qualifications and education will improve,"" the Christian Democrats' Erik Slottner announced when the Stockholm Alliance released its local election manifesto on Tuesday.         Slottner did not go into details about how this would be achieved, but added that all of the Alliance's goals could be reached with ""one of the country's lowest municipal tax rates"".          Stockholm has been run by the four party Alliance, consisting of the Moderates, the Christian Democrats, the Centre Party, and the Liberal Party (Folkpartiet), since 2006, when it wrested power from the Social Democrats. Much of the coalition's manifesto focused on jobs, mirroring the national political discourse.          The coalition promised 140,000 new jobs by 2020 in Stockholm alone, with a specific target of hiring more teachers and creating more summer positions for young people. They also promised 140,000 new homes by 2030, increased teacher salaries, and ten new metro stations in Stockholm.         ""The continued leadership of the Alliance is the only guarantee for more jobs and housing in Stockholm,""  mayor Sten Nordin, a Moderate, said at the press event.          The group also promised to increase teacher salaries and add 2,000 electric car charges throughout the city.          The Alliance in Stockholm has won the past two elections and is hopeful of a third round. However, a survey by pollster Sifo in May found that the opposition red-green parties had 50.1 percent of Stockholm voter support, while the Alliance only had 39.2 percent.        "
"
				30 May 2017
				16:17 CEST+02:00			 
					16:17 CEST+02:00				",TT/The Local,First results of Sweden's asylum age assessment tests,"
Three in four of those asylum seekers subjected to a new method of medically assessing their age by examining their teeth and knee joints have so far been found to be older than 18. 

	The national forensic medicine agency (Rättsmedicinalverket) began to carry out the tests earlier this year.

	They are designed to make age assessment during the asylum process more accurate, after the migration authority was criticized for failings in assessing the correct age of some refugees claiming to be underage.

	The agency has so far received around 4,200 requests from the Migration Agency and has completed assessments of the ages of a total of 581 people. It is only asked to carry out the tests in cases when the person's age is in question.

	The test results in 442 of these 581 cases ""suggest that the person examined is 18 years or older"", according to Rättsmedicinalverket. Of these, 430 were men and 12 women.

	Its experts also found that five of the test results, all women, ""possibly suggest that the person examined is 18 years or older"" and that in 134 cases (133 males and one female) the examination ""possibly suggests that the person examined is under 18"".

	The method of medical age assessment consists of taking X-rays of wisdom teeth, and MRI scans of knee joints, which are then analyzed by dentists and radiologists.

	The Migration Agency stressed the figures did not show that asylum seekers who lie about their age represent the majority of applicants, as the tests are only carried out in cases where it believes existing evidence is not enough.

	""If all unaccompanied minors had undergone a medical age evaluation then the results would likely have been different,"" Daniel Salehi, a manager at the agency, told Swedish newswire TT. He said the result would then have been the opposite, that most unaccompanied children are indeed under the age of 18.

	Over 35,000 asylum applications were made by lone refugee children in Sweden during 2015, followed by 2199 in 2016.  



"
"
				4 January 2016
				13:34 CET+01:00			 
					13:34 CET+01:00				", The Local,Why do refugees prefer Sweden to Denmark?,"
Border controls were recently reinstated between Denmark and Sweden. But The Local looks into why so many new arrivals would still rather seek asylum east of the famous Öresund bridge. 

1. It's a numbers game

	 

	Put simply, Sweden takes in more asylum seekers per capita than any other EU nation, while Denmark has a track record for adopting some of the toughest immigration policies in Europe.

	 

	Almost 163,000 refugees sought asylum in Sweden in 2015, according to the country's migration agency, compared to Denmark's 18,000.

	 

	Around 9.5 million people live in Sweden while there are 5.6 million in Denmark.

	 

2. Sweden has offered permanent residency to all Syrian arrivals

	 

	Refugees fleeing the violence in Syria make up the largest proportion of people seeking asylum across Europe and in 2013 Sweden became the first country in Europe to rule that all refugees from the war-torn nation would be granted permanent residency in the light of the worsening conflict. 

	 

	However the Swedish government announced plans to tighten the rules again again in November 2015.

	 

	Denmark introduced temporary one-year permits for Syrian refugees last year with the stated intention of sending them back home ""as soon as conditions improve"" in the war-ravaged country.  

	 


A refugee at Malmö train station in southern Sweden. Photo: Andreas Hillergren/TT

	 

3. Many refugees already have family in Sweden

	 

	Given the huge numbers of Syrians who have already been given protection in Sweden (16,785 in 2014 alone), it is unsurprising that many refugees would prefer to set up home close to friends and family.

	 

	Sweden has previously offered residency permits to immediate family members of those already granted asylum (husband, wife, partner and children - under the age of 18), but announced stricter time limits in November.

	 

	Last year, Denmark said it would only allow for family reunifications if a refugee's initial one-year residency permit was renewed, a move heavily criticized by the United Nations Refugee Agency and others. 

	 

4. Sweden offers strong social benefits for refugees

	 

	Asylum seekers are offered immediate emergency accommodation on arrival in Sweden before being relocated to temporary housing. Single adults are given a daily benefit of 71 Swedish kronor per day (2,159 kronor or $256 per month), with more available for those with families. 

	 

	Those granted asylum are then given help finding accommodation, are entitled to free Swedish for Immigrants lessons and may also be offered an 'introduction benefit' from Arbetsförmedlingen, Sweden's Employment Agency, giving them an income of 6,468 Swedish kronor per month ($769) while they search for work.

	 

	Denmark also offers social benefits and free language lessons for immigrants. But while it is generally more expensive to live in Denmark than in Sweden, the Danish government has recently slashed the amount of so-called 'integration' money it gives to new arrivals by 45 percent to 5,945 Danish kroner ($891) for a a single adult with no children. This too was subject to criticism from the United Nations and humanitarian organizations. 

	 


Temporary accommodation for refugees in Märsta, Sweden. Photo: Maja Suslin/TT

	 

READ ALSO: 'It was a long journey and some of my friends died'

	 

5. Global reputation

	 

	Sweden has an international image of openness and tolerance.  The current government is a Social Democrat-Green coalition which has spoken out strongly in favour of helping refugees. However it announced in October 2015 that pressure on resources meant that it could no longer guarantee accommodation for everyone.  Meanwhile, the anti-immigration Sweden Democrat party is growing in popularity, but is not part of the government or the country's main centre-right opposition Alliance bloc.

	 

	By contrast, Denmark's new single-party government is led by the right-of-centre Venstre, which needs the support of the anti-immigration Danish People's Party to push its agendas through parliament.

	 

	The Danish government recently launched an information campaign in foreign newspapers to deter refugees from setting foot on Danish soil. Even the country's former centre-left government headed by Helle Thorning-Schmidt touted a hard-line approach to refugees and immigrants, a record that came back to haunt her on Wednesday when she was passed over for for the position of UN High Commissioner for Refugees. 

	 
"
"
				14 January 2014
				15:25 CET+01:00			 
					15:25 CET+01:00				",AFP/The Local,Sweden data debunks UK migration fears,"
Sweden's decision to welcome Bulgarians and Romanians back in 2007 has benefited state coffers, new Gothenburg University research revealed on Tuesday. The UK, the Swedish economist argued, stands to benefit even more. 
 Bulgarian and Romanian migrants contribute more than they cost to Western European economies, which should stand as a lesson to the wary UK which stands to benefit the most from an influx,  a Swedish economist said Tuesday.  Joakim Ruist, a researcher at Gothenburg University, did precise calculations for Sweden, where Bulgarians and Romanians have worked freely since joining the EU in 2007, and estimates for 14 other EU member states.  ""My findings clearly show that the fears that are currently expressed in other European countries of unrestricted immigration from Romania and Bulgaria imposing a heavy burden on the welfare state are unfounded,"" Ruist said in a statement.  The report came one day after EU Employment Commissioner Laszlo Andor said that migrants contribute more than they take in their new countries and tend not to take jobs away from host workers.  In Sweden, one of the EU's most generous countries with its immigrants, and also the one with the largest gap between national and immigrant unemployment figures, Bulgarian or Romanian migrants contribute to the state 30 percent more than they cost, according to the economist.  ""This positive result is due to migrants receiving substantially less welfare benefits and being subject to substantially less public spending,"" Ruist said. ""This more than outweighs the fact that they earn less and hence pay less in taxes than the population on average.""  The researcher argued that the UK and Ireland are among the countries that benefit most from this immigration, since they a have well-known language and ""smaller welfare sectors"".  The EU migration issue heated up sharply ahead of January 1st when Bulgarians and Romanians got full rights to free movement in the European Union, sparking fears of a massive influx of migrants living on the state or taking jobs away from locals.  In response to calls for limits, the UK rushed through measures in December restricting access to unemployment handouts for new EU migrants but the feared flood of Romanians and Bulgarians notably failed to materialize.   Sweden joined a long list of critics of the British government's handling of immigration fears, with Swedish Prime Minister Fredrik Reinfeld voicing his concern last year and telling his UK counterpart David Cameron that the fear of welfare abuse had proved unfounded in Sweden.   ""We didn't see this big social tourism that everyone warned us about, and it might be wise to share that experience with others,"" Reinfeldt told Sveriges Radio (SR) earlier last year. Sweden's Social Affairs Minister Göran Hägglund was equally if not more critical.   ""I think it's a terrible way to express oneself. I think (Cameron's) speech is very, very unfortunate,"" Hägglund told SR, specifically, taking issue with how Cameron ""pitted us against them"" when speaking of migrants.  The new Swedish study used as a sample a fifth of the 10,000 Bulgarians and Romanians who lived in Sweden at the end of 2011, comparing their contributions via taxes with their use of public services, such as social benefits, health care, and education.
"
"
				27 April 2016
				08:13 CEST+02:00			 
					08:13 CEST+02:00				",AFP/The Local,How immigration is putting Swedish schools to the test,"
What Sweden's already struggling schools are doing to cope with the challenge of record immigration. 

	Of the roughly 245,000 migrants who have arrived in the Scandinavian country since 2014, 70,000 are under the age of 18, according to figures quoted by the AFP news agency on Wednesday.

	The majority of these youngsters are Syrians, Afghans and Iraqis who have been robbed of a proper schooling by war and exile.

	“It's a real challenge,” Education Minister Gustav Fridolin said in an interview with AFP.

	The Swedish school system already faces major challenges including an acute shortage of qualified teachers – 60,000 more are needed by 2019 – and declining scores in standardized international tests. The quality of education can also vary significantly from school to school.

	A Unicef report published in April showed that Sweden, along with neighbouring Finland, is the country where school results declined the most between 2006 and 2012.

	The Swedish National Agency for Education blames the decline in school performance on the large number of foreign students who they say drag down results because of language issues.

	In 2014, 14 percent of students had results too low to qualify for the second part of secondary school (for pupils aged 16 to 18), a 10 percent deterioration on the 2006 level.

	The lower level of pupils qualifying for further education was due to the rising number of students who migrated to Sweden after school starting age, who struggled to catch up as a result, according to the report.

	Fridolin said that it is “much more costly” for society to pay for a school system that has failed migrants than it is to give them a good education in the first place.


Foreign-born pupils are struggling in Swedish schools. Photo: Fredrik Sandberg/TT

	In the Södertälje municipality south of Stockholm, 37 percent of residents are born abroad. Three years ago, authorities decided to assign two teachers to each primary school class to ensure students got the attention they needed.

	“The students get more help, the classes can be adapted to their needs and the teachers feel less stressed,” said Södertälje's head of schoos, Monica Sonde.

	The gamble seems to be paying off, with the number of students qualifying for upper secondary school on the rise.

	At the Wasa primary and middle school, 90 percent of students speak Arabic and almost one in five pupils arrived in Sweden in the past two years.

	But Mark Khoazzoum, an 11-year-old whose father was a doctor in Aleppo, Syria, needed just three months in an adaptation class before he was ready to move into regular lessons.

	He now speaks good Swedish. But the language “is still an obstacle when I want to describe things”, he said.

	The scale of the challenges facing new immigrants varies depending on their country of origin.

	“Syria has a pretty adequate school system while countries like Iraq, Afghanistan and Somalia have very weak school systems, which means that students from these countries may not have attended school before arriving in Sweden,” said Anders Auer, a policy analyst at the country's education agency.

	Newly-arrived children are usually placed in adaptation classes where they learn Swedish, their knowledge levels are tested and they receive schooling in their mother tongue. Within two years, they are expected to have caught up enough to be able to enter the regular curriculum.

	They usually face hurdles all the way through their education, but “in our statistics, we have noted that the foreign students are more motivated than those born Sweden”, said Auer. But he added: “Even though they're motivated they have a hard time.”
"
"
				2 January 2015
				12:47 CET+01:00			 
					12:47 CET+01:00				",TT/The Local/og,Lone child migrants to Sweden double in 2014,"
Around 7,000 unaccompanied refugee children arrived in Sweden in 2014, twice as many as the year before. And some parts of the country aren't coping, according to reports.
 
  A total of 81,300 people found refuge in Sweden in 2014, a jump of almost 50 percent from the 54,300 in 2013.        Among the refugees, 7,000 were children arriving without their families - almost double the figure from the previous year.        A law change that came into effect last January means that the unaccompanied minors can be sent to any municipality in the country, regardless of whether the municipalities want them or not.         Some consider the influx to be problematic, including Patric Åberg of the city council in southern Sweden's Östra Göinge.         ""We have taken in unaccompanied minors since 2011, but the problem is that the municipalities taking in many of them have to take in even more - and we think it's devastating,"" he told the TT news agency.        He says that his municipality simply doesn't have the room to house so many children, and that other parts of Sweden should step up and take their share.        The municipality has requested an official court inquest into the matter.        ""We think there is a gap here and that we can get around it. We want the system to be changed at a fundamental level,"" he added.        A spokesman at the Migration Board argued that the change in the law has been positive.        ""The municipalities have shown a great deal of understanding for the new system, which means a much more even divide of children across the country,"" he said. ""They should be commended for their efforts in a year that saw historic levels of unaccompanied children.""    
  In 2014 Sweden took in its highest number of asylum seekers since 1992, when refugees flocked north from the Balkan war. The refugees came mostly from Syria, with a total of 30,600 fleeing to Sweden - 14,300 more than in 2013. "
"
				26 June 2014
				11:19 CEST+02:00			 
					11:19 CEST+02:00				",The Local/sr,Migrants abandon camp to avoid eviction,"
An estimated 100 immigrants abandoned their car-park camp on Thursday after eviction threats from the Swedish Enforcement Authority. 
  The Bulgarian immigrants have been living in a make-shift camp in a train station car park near Gothenburg.   On Thursday morning the camp was deserted. At 7am only two men remained, and they disappeared shortly after.   The car park then stood empty, desolately freckled with remains from fire pits and clothes lines used the night before. Clusters of tents and cars had vanished.   The Gothenburg section of the Swedish Enforcement Authority (Kronofogden) planned to evict everyone from the camp later on Thursday morning, as setting up a camp on municipal land is illegal, regardless of whether the campers are Swedes or immigrants.   Personnel from the social services visited the camp several times in the days leading up to the eviction, and the campers left rather than waiting for it to happen.   ""Several said yes to the offer of a paid trip home,"" Ulrika Falk from the Räddningsmissionen (Rescue Mission) told news agency TT. ""Others have gone north, and some have just chosen other spots.""   Sweden's largest cities, particularly Stockholm, already face housing crises and often struggle to find homes for refugees and immigrants. Stockholm city recently opened a 'beggar hotline' to answer questions about the city's homeless population - and so far the majority of callers have wondered what the city is doing about beggars' living situations.    ""Those who call are usually worried and wonder how the city is thinking, and what the city can do,"" social services officer Fredrik Jurdell told TT.  
  The Stockholm social services visit each beggar camp they are alerted to - though what they can do from there is questionable.   ""It's still illegal to camp on city ground,"" Joakim Trolle, co-founder of non-profit organization BonzaiBeat, told The Local at an earlier date. ""We drive over their camps with a bloody bulldozer. We can't say that we want to help these people and then not actually come up with any helpful solutions.""
"
"
				6 September 2013
				16:41 CEST+02:00			 
					16:41 CEST+02:00				", The Local,Tighter rules proposed for labour migrants ,"
The government and the Green Party (Miljöpartiet) want to tighten Sweden's labour laws to fight poor working conditions for migrants, with employers potentially risking prison if they don't provide accurate information about their workers. 

Employers could risk prison or fines if they don't cooperate with the Swedish Migration Board (Migrationsverket) by providing current and accurate information about the working conditions for migrants. Incorrect information could lead to a prison sentence of two years.
""This is very important,"" Migration Minister Tobias Billström told Sveriges Radio (SR) of the new deal struck with the Greens.
""The Migration Board has not previously had such clear tools for getting through these changes, if you look at how the regulations have been designed, and these are going to take effect in April next year.""
The new rules mean that the Swedish Migration Board (Migrationsverket) will have increased access to the databases of other public authorities. 
In the past, migrants coming to Sweden have been exploited by Swedish employers, with some being been paid slave-like wages, and others denied benefits to which they were entitled.
""There have been abuses in the system, but on the whole, it has worked well,"" Maria Ferm, spokesperson for the Green Party's migration policy, told reporters at a press conference with Billström, according to the TT news agency.
TT/The Local/og
Follow The Local on Twitter"
"
				27 June 2014
				12:26 CEST+02:00			 
					12:26 CEST+02:00				", The Local,Sweden helps secure UN deal for Syrian migrants,"
Migration Minister Tobias Billström has played a key role in convincing other countries to follow Sweden's example by taking in more Syrian refugees at a UN conference being held in Switzerland. 
  At a meeting for the United Nations High Commissioner for Refugees (UNHCR) in Geneva, the displacement of Syrian refugees has been high on the agenda.   The Swedish delegation has been leading an international working group with the task of finding homes for an estimated 34,000 Syrian asylum seekers, Sveriges Radio reports.   Following talks between Billström and dozens of other senior politicians, a total of 21 countries around the world have agreed to follow Sweden's lead in tackling the issue.   Billström said the agreement would enable the Syrian asylum seekers to seek refuge in a safe zone, most likely in the EU.   ""It feels very good and fortunate that this is happening,"" he told Sveriges Radio.    In September last year, Sweden granted permanent residence to all Syrian refugees who applied, the first country in the EU to do so.   Earlier in June it was revealed that Sweden took in almost 20 percent of EU's asylum seekers, more than any other nation - despite only representing 1.9 percent of the EU's population.
  In 2013 Sweden took in 26,395 asylum seekers, of which Syrians made up 46 percent.   By contrast, Germany took in 26,080 refugees (12,000 Syrians), while certain other countries in the EU, such as Austria, took in significantly smaller numbers of Syrians than Sweden.    That looks set to change following the agreement with the UNHCR, as Austria has agreed to take in 1,500 Syrians over the next year. Sweden is expected to rehouse another 1,200 Syrians.   Billström praised Germany for promising to provide asylum to 20,000 more people as part the agreement.   However, he said he was ""especially disappointed"" that just 14 of the EU's 28 member states were stepping up and participating in the refugee rehousing scheme.    In 2013, Sweden was UNHCR’s fifth largest donor. Sweden remains one of the non-profit organization's top partners, contributing 768.5 million kronor ($117.2 million) so far this year.  The Local/pr
"
"
				26 May 2017
				16:44 CEST+02:00			 
					16:44 CEST+02:00				",TT/The Local,Police car flips after officers are attacked in Uppsala,"
A police car crashed into a streetlight then flipped onto its roof as officers were attacked with stones and other objects during an incident at a camp for EU migrants in Swedish city Uppsala. 

	The origin of the incident came when police pulled over a car which had a number of parking tickets attached to it on Thursday morning. The diver turned violent and managed to escape, and police spotted him later in the day driving a completely different car.

	He escaped again, but police were aware that he had been seen before at a camp for EU migrants in the Boländerna area of the city. When officers arrived at the camp looking for the man, they were attacked by a number of people there.

	""They started to throw stones, plates and frying pans at the police. The patrol asked for back-up,"" police press spokesperson Christer Nordström told news agency TT.

	Several patrols were sent to help, and one of the cars crashed into a streetlight then flipped onto its roof. The officers inside escaped with minor injuries.

	""As far as I understand they weren't seriously injured,"" Nordström noted.

	Two people have now been arrested on suspicion of violent rioting in relation with the incident, however the man police were originally looking for managed to flee once more, and has been arrested in absentia.

READ ALSO: Sweden needs more police officers, union says
"
"
				8 September 2018
				07:59 CEST+02:00			 
					07:59 CEST+02:00				", The Local,Opinion: 'So I'm not THAT type of immigrant? I've heard that before',"
What if you have lived in a country for ages, but still aren't seen as an 'integrated' immigrant? American political science PhD candidate Ian Higham writes about his worries for the election.  

	For the third time in my life, I am an immigrant. I moved to Sweden in 2015 to work as a PhD candidate in political science at Stockholm University. As an immigrant closely following the Swedish election to be held on Sunday, I can't help but remember 2012.

	I was living in London at the time and working on a master's degree at the London School of Economics. The Conservative Party won the general election in 2010, at which time I had been studying in Denmark. The Tories pledged during their campaign to cut immigration to the UK ""from the hundreds of thousands to the tens of thousands"".

	Theresa May became Home Secretary and was therefore responsible for turning this campaign promise into policy. Voters heard ""immigrant"" and thought of Muslim refugees bleeding the welfare state dry, of hearing Polish in the queue at Waitrose, of Sharia courts proliferating in Birmingham. But refugees are difficult to expel from a country for practical, legal and moral reasons, and EU migrants (pre-Brexit) could not be legally deported.

	Everyone said, ""But you're American. You will be allowed to stay. There's always a fast track for Americans. You're not a 'real immigrant.'"" Fast forward to July 2012 and me sobbing at Heathrow Airport, holding a one way ticket to New York.

	In order to deliver on their promise, the Tories in 2012 cut the post-study work visa – a Blair-era policy that encouraged graduates from British universities to stay and look for work in the UK. Without this visa, there were few realistic options for skilled migrants to remain in the UK absent unlimited personal wealth. I applied for more than 300 British jobs, and having a master's degree from one of the most prestigious universities in the country qualified me for an interview for precisely zero. Not one. Many companies sent me auto-reject e-mails when I ticked the ""needs sponsorship for a residence permit"" box on applications. The same was true for every non-EU student I knew at LSE.

	Now we have a fresh election coming in Sweden. The Social Democrats want to restrict labor migration to fields with a government-determined ""shortage"". The (so-called) Liberals and Moderates want to impose language and culture exams on people like me who want to stay and work in Sweden. The current immigration rules allow me to apply for permanent residence next year. If the right wins, I may not get it. If the left wins, am I guaranteed to be able to stay with my employer?

	In addition to working as an instructor and researcher at the university, I work with a consulting firm where I help global companies to enter the Swedish market and Swedish companies to grow and hire domestically. I am young and healthy, paying into a pension system from which I am not guaranteed to benefit. I do all of my work in English, not Swedish. I have dozens of close friends, who are the main reason I want to stay in Sweden. But for three of the mainstream political parties – and one on the far right – I may not, apparently, have ""integrated"" into Swedish society. I speak some Swedish, but my ability to pass a stringent language exam is not assured. And who knows what arbitrary cultural traditions I must have memorized in order to pass a culture exam.

	For less skilled migrants, there are still a ridiculous amount of obstacles to integration and to work that have nothing to do with language. The byzantine and ascetic housing system that imposes segregation is the biggest, but many other factors most Swedes never have to consider play a part. Swedish for Immigrants (SFI) courses are over-subscribed (in my SFI class, there were around 80 students), allowing little chance for many people to learn fluent Swedish. Private language courses, especially in the major cities, are very expensive.

	There is also the issue of restrictions on qualifications that making working – and getting to work – unnecessarily difficult for immigrants.

	It can cost more than 15,000 kronor to get a Swedish driving licence if one needs courses to pass the notoriously difficult Swedish driving exams; non-EU licences are invalid after the first year of residence. Canadians who have been driving for 30 years in their home country would be considered less qualified than a Swedish teenager with a learner's permit. How are refugees expected to pony up thousands of dollars to learn a skill they already have for a job they barely want?

	A Harvard doctorate in clinical psychology is worth less than a Swedish university's bachelor's degree for mental health professionals. And if you do work in a field with transferable qualifications, it can take months –  even years – to process the transfer. Yet the Liberals and Moderates rail on about language exams and cultural assimilation as the only path to work, while the Social Democrats insist that the government knows better than employers who to hire.

	Immigrants contribute enormously to Swedish society – and those who don't often want to, but can't. Swedes keep telling me, ""You'll be fine. You're educated and American. You're not THAT type of immigrant.""

	Well, I've heard that before, and it's bullshit.

Ian Higham lives in Stockholm and is a PhD candidate in Political Science at Stockholm University and a public affairs consultant with Crimson Clarke.
"
